product_name,brand,price,seller_location,product_link,category,scraped_at
"Vitrified,Ceramic Floor & Wall Tiles",Unknown,N/A,Unknown,https://www.indiamart.com/indianexporters/tiles-ceramic.html,Tiles,2025-08-05T17:15:34.985433
Vitrified Floor Tile,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/vitrified-floor-tile.html,Tiles,2025-08-05T17:15:34.985433
Ceramic Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/ceramic-floor-tiles.html,Tiles,2025-08-05T17:15:34.985433
Parking Tile,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/parking-tile.html,Tiles,2025-08-05T17:15:34.985433
Double Charge Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/double-charged-vitrified-tiles.html,Tiles,2025-08-05T17:15:34.985433
Gvt Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/glazed-vitrified-tiles.html,Tiles,2025-08-05T17:15:34.985433
Designer Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/designer-floor-tile.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Gft Bdw Texas Brown Ft Floor Tile, Size: 600X600 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/gft-bdw-texas-brown-ft-floor-tile-2857147961862.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Sahara Gris Floor Tiles, Size: 600X600 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/sahara-gris-floor-tiles-2856841731973.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Gft Bhf Maksi Dot Silver Floor Tile, Size: 600X600 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/gft-bhf-maksi-dot-silver-floor-tile-2857150829391.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Galaxy Brown Floor Tiles, Size: 300X300 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/galaxy-brown-floor-tiles-2856756416648.html,Tiles,2025-08-05T17:15:34.985433
Ceramic Floor Tiles 800X800,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-800x800-18351298230.html,Tiles,2025-08-05T17:15:34.985433
"Marvelano Multicolor Ceramic Gvt Floor Tiles, Usage Area: Living...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-gvt-floor-tiles-23202079488.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic High Glossy Brick Tile, Size: 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-2851749682388.html,Tiles,2025-08-05T17:15:34.985433
"Kajaria Vitrified Tiles, 3X6 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/kajaria-vitrified-tiles-3x6-feet-2854280299812.html,Tiles,2025-08-05T17:15:34.985433
"Matt 5022 3D Series White Body Porcelain Tiles, Size: 600X600 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/5022-3d-series-white-body-porcelain-tiles-27311439848.html,Tiles,2025-08-05T17:15:34.985433
"Matt & Glossy 5039 3D Series White Body Porcelain Tiles, Size:...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/5039-3d-series-white-body-porcelain-tiles-27311634397.html,Tiles,2025-08-05T17:15:34.985433
"Matt & Glossy 5038 3D Series White Body Porcelain Tiles, Size:...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/5038-3d-series-white-body-porcelain-tiles-27311624597.html,Tiles,2025-08-05T17:15:34.985433
"Matt & Glossy 5034 3D Series White Body Porcelain Tiles, Size:...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/5034-3d-series-white-body-porcelain-tiles-27311578348.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain Floor Tiles Manufacturers In Morbi, Size: 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-manufacturers-in-morbi-2855668405330.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Tiles 600X600, Size: 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-tiles-600x600-2855667788630.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain Floor Tiles Morbi, Size: 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-morbi-2855668405591.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain Floor Tiles 600X600 Mm, Size: 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/porcelain-floor-tiles-600x600-mm-2852290253348.html,Tiles,2025-08-05T17:15:34.985433
Neon Tile Llp,Unknown,N/A,Unknown,https://www.neontile.in/,Tiles,2025-08-05T17:15:34.985433
Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-2854139350633.html,Tiles,2025-08-05T17:15:34.985433
Floor Tiles 24X24 Inch,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-24x24-inch-2854139351630.html,Tiles,2025-08-05T17:15:34.985433
Floor Tiles 24X24,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-24x24-2854139346088.html,Tiles,2025-08-05T17:15:34.985433
Ceramic Floor Tiles 24X24,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-floor-tiles-24x24-2854139348130.html,Tiles,2025-08-05T17:15:34.985433
"Polished Vitrified Rainbow Floor Tile, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/rainbow-floor-tile-2851014310948.html,Tiles,2025-08-05T17:15:34.985433
"Polished Vitrified Rainbow Floor Tile, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/rainbow-floor-tile-2851014279312.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Wall And Floor Tiles For Bathroom, 1X2 Ft(300X600 Mm),...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/wall-and-floor-tiles-for-bathroom-10576760448.html,Tiles,2025-08-05T17:15:34.985433
"Carving Floor Tiles, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/carving-floor-tiles-2850969155433.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Floor Tiles, Size: 12X18 Inch",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-22392749773.html,Tiles,2025-08-05T17:15:34.985433
"Matt Finish Brown Step & Riser Tiles, Thickness: 8 - 10 Mm,...",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/step-riser-tiles-22463343691.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Bathroom Floor Tile, Size: 1X1 Feet(300X300 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/bathroom-floor-tile-2855068343733.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Step Risers Tiles, Matte",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/step-risers-tiles-2849535042033.html,Tiles,2025-08-05T17:15:34.985433
Tropicana Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/tropicana-floor-tiles-2851450560473.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Floor Tiles, Size: 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-2853952729488.html,Tiles,2025-08-05T17:15:34.985433
"High Glossy Vitrified 3D Floor Tiles, Size: 3X3 Feet(900X900 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/3d-floor-tiles-2851450723948.html,Tiles,2025-08-05T17:15:34.985433
Kajaria Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/kajaria-floor-tiles-2853952702073.html,Tiles,2025-08-05T17:15:34.985433
Tizo Tiles Llp,Unknown,N/A,Unknown,https://www.tizotile.com/,Tiles,2025-08-05T17:15:34.985433
1200X1200 Mm Carving Surface Tile,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/1200x1200-mm-carving-surface-tile-2853101958173.html,Tiles,2025-08-05T17:15:34.985433
Glossy Vitrified 600 X 600 Mm Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600-x-600-mm-floor-tiles-2853178839462.html,Tiles,2025-08-05T17:15:34.985433
Matte Stone 300X450 Mm Ruhi Matt Collection Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/300x450-mm-ruhi-matt-collection-tiles-2853114509773.html,Tiles,2025-08-05T17:15:34.985433
Matte Ceramic 800X1600 Mm Matt Collection Tile,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/800x1600-mm-matt-collection-tile-2853102556673.html,Tiles,2025-08-05T17:15:34.985433
Ceramic 2X4 Endless Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/2x4-endless-floor-tiles-2855383399762.html,Tiles,2025-08-05T17:15:34.985433
Vitrified 2X4 Sparkle Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/2x4-sparkle-floor-tiles-2855389613212.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified 600X1200 Floor Tiles Satin Design, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600x1200-floor-tiles-satin-design-2855389599462.html,Tiles,2025-08-05T17:15:34.985433
